,max_acc_re_raw,std_acc_re_raw,var_acc_re_raw,iqr_acc_re_raw,mad_acc_re_raw,max_acc_re_jerk,min_acc_re_jerk,range_acc_re_jerk,std_acc_re_jerk,var_acc_re_jerk,mad_acc_re_jerk,max_gyro_re_raw,std_gyro_re_raw,var_gyro_re_raw,iqr_gyro_re_raw,mad_gyro_re_raw,max_gyro_re_jerk,min_gyro_re_jerk,range_gyro_re_jerk,std_gyro_re_jerk,var_gyro_re_jerk,mad_gyro_re_jerk,fall_adl_bin,person_id
704,21.884311622941215,1.831623499942188,3.3548446455404703,2.831196484459749,1.2941300656125367,2.2439463100952075,-0.7762196855012871,3.0201659955964946,0.4260465694233256,0.18151567931738458,0.23237320291098484,1.0759841355707807,0.2707779713049296,0.07332070974401327,0.4578704613658874,0.2239692106876952,0.1458420397653798,-0.12985468018429458,0.2756967199496744,0.05140190143293243,0.0026421554709209014,0.032308348655490565,-1,P06
709,22.408339388718655,2.0854752434038044,4.349206990850158,2.7855509799105533,1.5347273222663738,2.62046902895354,-3.5135073013416473,6.133976330295187,0.6492196909797333,0.4214862071558204,0.24559031144598187,0.88787068315155,0.2026116953350847,0.04105149908655718,0.3450822450379397,0.16704047242783512,0.13153622379529195,-0.14114695359761875,0.2726831773929107,0.051331658063552575,0.0026349391195534823,0.03390950159767664,-1,P06
713,24.169546546015297,2.026782930818904,4.107849048658867,2.001532669998486,1.0089190319608043,3.9346921747440433,-2.582846286984708,6.517538461728751,0.9757765051121494,0.9521397879288805,0.3323279528797567,2.4877392548255535,0.5132229827591599,0.2633978300322089,0.7710339112526621,0.3901076543809101,0.42671049052715404,-0.3058861068460068,0.7325965973731609,0.10863217653748178,0.011800949779270606,0.0418850131978,-1,P06
720,21.44256335702427,1.3248837191774407,1.7553168693414476,1.8609757858311369,0.9193480504131788,2.941659165805607,-1.4505795976266178,4.392238763432225,0.5295717585197718,0.28044624742172347,0.24761793681449973,1.4958880606515983,0.3480922304279333,0.1211682008842934,0.47972230633103363,0.23880078286487716,0.19062164767584994,-0.28513842862456085,0.4757600763004108,0.06691096070057835,0.00447707666187434,0.045978905456688035,-1,P06
751,20.42042605260723,1.2715747077764212,1.6169022374566913,1.767009272558445,0.8323353900408588,3.1574381127979656,-1.5497059966641693,4.707144109462135,0.5705918861648798,0.3255751005571951,0.16297870670139236,1.5265506771804203,0.3120082311075155,0.09734913627884081,0.37756915447938255,0.18728786359756944,0.2005017566582432,-0.1964083898527117,0.3969101465109549,0.0707686931225635,0.005008207926275565,0.05144349963436157,-1,P06
753,24.099901947933315,2.1304379380042304,4.538765807687717,2.6279557534950015,1.333619445123471,5.414838733004487,-3.245978771492389,8.660817504496876,1.1330566030855718,1.283817265795815,0.3246843657622698,2.703008266728017,0.48070082230489736,0.2310732805646045,0.5533290352778633,0.28643721288449403,0.7131314373743249,-0.4876389882407193,1.2007704256150442,0.14663267397557525,0.02150114107722734,0.04007378140142803,-1,P06
757,22.106447133132907,1.8123442313773632,3.284591613006805,2.0087069053990625,1.044764475307442,1.451738849160689,-2.391472750895641,3.84321160005633,0.5703989827858154,0.3253549995630929,0.2211919904024482,1.1577766883125606,0.2842340543877046,0.0807889976736726,0.5258379174247729,0.2526087024474931,0.16260911905911668,-0.18720794986561534,0.349817068924732,0.06709551731607392,0.004501808443911576,0.03249464888351741,-1,P06
761,13.172044401306882,2.007074207042774,4.02834687257638,2.579445946670943,1.19811006526084,1.8269677703167977,-1.7266013378206466,3.5535691081374443,0.742217468728018,0.5508867708850264,0.31628404478861594,0.83970287006774,0.26030812869539355,0.06776032186489757,0.4733792792321904,0.25065470261538836,0.12147670150140732,-0.3428426038782359,0.4643193053796432,0.055275842416728636,0.003055418754879017,0.02787924491823511,-1,P06
764,10.560592343235298,1.0770973804883561,1.1601387670548784,1.2821418245470282,0.6237366017318964,2.2289859259645217,-1.304612396637184,3.533598322601706,0.5023711642984178,0.25237678671854785,0.21848119214889428,0.567827843628683,0.12806727006835866,0.016401225662761913,0.16858672027716093,0.09150786358907931,0.07020964710569275,-0.07864786900706267,0.1488575161127554,0.027918128648064134,0.0007794219072098594,0.02148891582804089,-1,P06
769,11.636996266219217,1.570806629490645,2.467433467251761,1.9240864374239655,1.014374009278617,4.958246183306996,-1.5319783764280244,6.4902245597350205,0.7724669278717846,0.596705154655673,0.2754173745912043,1.414057452863921,0.32444882781808454,0.10526704187252908,0.3663570221574562,0.18502172970615938,0.16784612261322118,-0.6809519690079598,0.848798091621181,0.09248162768284572,0.008552851458868495,0.02325608264798773,-1,P06
